UnixTimeSeconds;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName;EmperorsRating - UnixTimeSeconds;RatingHand;CurrentRotation;CurrentHumanReadableRotation
1728903356;784188;1000005949142752369;63864507356990;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
1728903356;784208;1000005949242788551;63864507356990;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
1728903356;784228;1000005949342830474;63864507356990;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
1728903356;784248;1000005949442869917;63864507356990;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
1728903356;784268;1000005949542906625;63864507356990;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
1728903357;784288;1000005949642941879;63864507357010;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
1728903357;784308;1000005949742982454;63864507357124;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
1728903357;784328;1000005949843019856;63864507357212;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
1728903357;784348;1000005949943055229;63864507357314;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
1728903357;784368;1000005950043096985;63864507357415;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
1728903357;784388;1000005950143136903;63864507357514;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
1728903357;784408;1000005950243173940;63864507357614;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
1728903357;784428;1000005950343217504;63864507357714;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
1728903357;784448;1000005950443257273;63864507357814;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
1728903357;784468;1000005950543294720;63864507357915;(-0.823, 0.793, 1.523);(0.025, 0.088, -0.016, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0
