UnixTimeSeconds;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName;EmperorsRating - UnixTimeSeconds;RatingHand;CurrentRotation;CurrentHumanReadableRotation
1721212948;562311;1000163234612558227;63856816948092;(-0.641, 0.792, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212948;562331;1000163234712589920;63856816948092;(-0.641, 0.792, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212948;562351;1000163234812621903;63856816948092;(-0.641, 0.792, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212948;562371;1000163234912656578;63856816948092;(-0.641, 0.792, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212948;562391;1000163235012693611;63856816948092;(-0.641, 0.792, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212948;562411;1000163235112727872;63856816948209;(-0.641, 0.791, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212948;562431;1000163235212762140;63856816948309;(-0.641, 0.791, 1.884);(0.008, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212948;562451;1000163235312796630;63856816948409;(-0.641, 0.792, 1.884);(0.008, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212948;562471;1000163235412830582;63856816948510;(-0.641, 0.791, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212948;562491;1000163235512868144;63856816948615;(-0.641, 0.792, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212948;562511;1000163235612905556;63856816948715;(-0.641, 0.792, 1.884);(0.009, 0.487, -0.006, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212948;562531;1000163235712940417;63856816948815;(-0.641, 0.792, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212948;562551;1000163235812971880;63856816948915;(-0.641, 0.792, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212949;562571;1000163235913011238;63856816949015;(-0.641, 0.792, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212949;562591;1000163236013051965;63856816949116;(-0.641, 0.791, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212949;562611;1000163236113086832;63856816949215;(-0.641, 0.791, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212949;562631;1000163236213116398;63856816949316;(-0.641, 0.791, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212949;562651;1000163236313156999;63856816949414;(-0.641, 0.791, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212949;562671;1000163236413199463;63856816949516;(-0.641, 0.791, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212949;562691;1000163236513233348;63856816949616;(-0.641, 0.792, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212949;562711;1000163236613262612;63856816949724;(-0.641, 0.792, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721212949;562731;1000163236713302276;63856816949812;(-0.641, 0.792, 1.884);(0.009, 0.487, -0.007, 0.873);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
