UnixTimeSeconds;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName;EmperorsRating - UnixTimeSeconds;RatingHand;CurrentRotation;CurrentHumanReadableRotation
1724064265;857364;1000004326636596167;63859668265496;(0.299, 0.774, 1.905);(-0.026, 0.603, 0.017, 0.797);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064265;857384;1000004326736636067;63859668265496;(0.299, 0.774, 1.905);(-0.026, 0.603, 0.017, 0.797);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064265;857404;1000004326836673583;63859668265496;(0.299, 0.774, 1.905);(-0.026, 0.603, 0.017, 0.797);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064265;857424;1000004326936708815;63859668265496;(0.299, 0.774, 1.905);(-0.026, 0.603, 0.017, 0.797);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064265;857444;1000004327036741948;63859668265496;(0.299, 0.774, 1.905);(-0.026, 0.603, 0.017, 0.797);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064265;857464;1000004327136781240;63859668265539;(0.307, 0.765, 1.907);(-0.028, 0.603, 0.016, 0.797);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064265;857484;1000004327236817392;63859668265614;(0.302, 0.772, 1.906);(-0.028, 0.603, 0.017, 0.797);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064265;857504;1000004327336851699;63859668265703;(0.301, 0.774, 1.905);(-0.028, 0.604, 0.018, 0.797);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064265;857524;1000004327436891684;63859668265824;(0.392, 0.814, 1.915);(-0.004, 0.591, 0.007, 0.806);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064265;857544;1000004327536930056;63859668265928;(0.293, 0.768, 1.904);(-0.026, 0.594, 0.025, 0.804);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064266;857564;1000004327636967124;63859668266005;(0.296, 0.772, 1.904);(-0.024, 0.596, 0.022, 0.802);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064266;857584;1000004327737012699;63859668266117;(0.387, 0.796, 1.931);(0.010, 0.580, 0.009, 0.815);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064266;857604;1000004327837051004;63859668266207;(0.300, 0.768, 1.903);(-0.027, 0.583, 0.032, 0.811);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064266;857624;1000004327937089462;63859668266319;(0.300, 0.774, 1.903);(-0.026, 0.592, 0.027, 0.805);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064266;857644;1000004328037122974;63859668266408;(0.302, 0.774, 1.903);(-0.026, 0.596, 0.025, 0.802);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064266;857664;1000004328137163905;63859668266518;(0.302, 0.773, 1.904);(-0.026, 0.598, 0.024, 0.801);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064266;857684;1000004328237201372;63859668266607;(0.301, 0.772, 1.904);(-0.026, 0.600, 0.024, 0.800);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064266;857704;1000004328337236571;63859668266719;(0.302, 0.770, 1.902);(-0.030, 0.590, 0.031, 0.807);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1724064266;857724;1000004328437278534;63859668266808;(0.296, 0.770, 1.903);(-0.029, 0.593, 0.030, 0.804);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
